id,testGroup,storeLocType,storeAge,pop5mi,comp5mi,sumPre4_5,sumPost4_5,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18,wk19,wk20,wk21,wk22,wk23,wk24,wk25,wk26,wk27,wk28,wk29,wk30,wk31,wk32,wk33,wk34,wk35,wk36,wk37,wk38,wk39,wk40,wk41,wk42,wk43,wk44,wk45,wk46,wk47,wk48,wk49,wk50,wk51,wk52
246,8B,Urban - Strip Mall,21,480000,23,454633.6,1288830,31351,25126.8,31034.8,39115.2,31444.8,39381.4,29556.2,30322.8,32894,32873.4,37270.2,30765.4,29213.6,34284,29208,32633,25538,39324,31245,35452,26934,24309,31168,34120,25850,37432,24585,33127,25897,30723,33752,32839,30026,29698,33178,36469,34131,32072,26280,29078,34225,32552,29057,34549,36294,36232,50853,29083,34949,43137,48296,40251
247,Control,Urban - Strip Mall,9,193000,11,286306.6,806637,20046.6,20853,21656,22076.4,19094.6,20634.2,17605.2,19639.2,23600,22995.2,20890.4,19783.8,20289,17143,18555,22019,15652,17427,15692,17920,17632,22422,19559,16193,16208,18406,16176,15760,18112,18598,22450,23034,20335,16913,17421,22347,23483,21580,23638,16829,24317,20386,24046,20576,19052,20094,31576,20062,19797,32022,37656,25549
248,7B,Suburban - Strip Mall,3,268000,70,222932.8,627401,15862.8,15620,16867.8,13969.2,18047.2,20887.4,14197.8,18676.6,13426.8,14337.4,18066,14940.2,14765.6,13268,13457,15565,15673,13486,12987,13020,11764,15678,18152,14586,14499,16644,16979,13496,16822,15385,17718,13661,18249,17589,14135,13068,18146,18211,13655,17140,13579,16753,13841,18611,18133,15575,24532,15547,14815,19530,19982,23470
249,8A,Rural - Standalone,31,114000,63,253465.4,749755,16833.2,18374.6,19793.2,20301.2,14638,20118,16023.6,19506.8,16826.6,19409.2,16038.8,20938.6,15267.6,19396,15239,16132,20106,21689,15937,19747,15248,19809,21222,19102,13425,22205,16128,16999,19081,19302,17261,20152,18445,18240,21751,14404,17407,17261,20097,18181,19323,20969,16886,18919,15736,18074,24467,21152,17362,31630,29386,21885
250,Control,Urban - Strip Mall,5,206000,18,350124.2,1023959,28127.2,21034.2,26187.6,21370,20160,26983.6,20784.2,29598,24592.6,27708.8,29648.4,29961.6,22903,21065,25385,25280,28804,27871,21276,24132,24604,28547,22521,23609,23531,26326,21433,22161,22093,25409,21996,23112,24578,31043,24731,26467,22790,27282,22405,25794,30395,26815,22968,27348,29102,30863,28618,25765,25046,37653,36770,38371
251,Control,Suburban - Standalone,16,230000,7,395803.6,1101310,26865.8,29504.6,24506,28537.6,27610.4,37244.6,31701,23511.2,26127.4,33500.6,25430,30224.6,26997.8,24042,21139,21957,31057,31942,27843,31413,27894,24788,32304,24209,25300,31297,21202,23275,22182,31122,27178,25281,32694,23248,22736,23499,25856,23035,28237,33261,30153,23783,24989,29244,35452,33802,42539,25298,26042,34630,39299,38088
252,7A,Rural - Standalone,18,26000,1,448899.4,1214156,23731.6,30994.6,31969,36900,29592.6,35416.6,32638.2,36447.8,29745,34395.4,28162.6,36334.2,32359.8,30212,26111,33871,26759,26247,24807,27844,28356,22495,24929,30422,27076,35628,30169,33282,29628,28021,28611,33069,26702,29980,28584,27689,34630,31845,26859,31149,30125,35695,34726,34420,32800,28188,39767,29953,28685,40003,52378,42441
253,Control,Suburban - Strip Mall,19,38000,2,164858.6,448607,11026.4,11795,11742.4,12938.8,10521.6,11604.2,11778,13675.4,11372.6,11677.2,11447.8,14718.4,9260.8,11300,9785,11182,10812,12023,9807,10730,11785,8491,12408,10750,9244,13762,10675,12584,9839,11105,11060,8979,9697,9976,12380,11154,10652,13462,13067,12012,9721,10915,14161,11249,11848,10797,15095,11447,13735,14915,14318,11685
254,Control,Suburban - Strip Mall,28,223000,10,425876,1237606,31693.6,31989.4,29029.8,25871.6,29910.8,35263.2,32975.6,34756.2,25554.4,27820.6,29929,34322,30057.8,26702,30409,25666,31522,32633,23925,33865,24002,31323,35541,28956,27800,32187,31948,28306,29235,31635,30330,30373,28640,29853,32993,24033,33273,32609,35622,27214,33384,28098,25198,33209,28030,36876,44517,30263,38818,42334,54747,31537
255,Control,Urban - Standalone,7,349000,11,450980.4,1384764,32134.2,32251,35657,29277.2,26154.4,38478.6,29766.2,30589.4,40249.6,27605,30030.8,34070.4,29163.6,35553,27431,38182,30736,37139,31664,35445,32076,33516,32919,35991,33223,41796,36848,29237,29620,33329,29422,36667,30723,32543,35416,32872,39769,30952,40745,32205,29858,29947,33439,39906,36021,35469,55095,40111,38565,53632,42037,34665
256,Control,Suburban - Standalone,10,103000,40,141450.6,379886,8936.8,8767.4,9112.6,9564.8,9549.8,11101.6,11406,10040.6,11753.2,11727.4,10349.2,12460.4,8774.8,7906,8851,10243,8198,10033,10084,9000,10087,7621,10188,8799,10040,9719,8302,8276,8262,7616,10056,9730,8675,12177,8548,9500,8514,10697,11921,8606,8394,8982,8624,8750,10491,9429,12424,10243,12202,12327,13270,13101
257,8A,Rural - Standalone,14,17000,14,321018.8,868073,19710,17458.6,18841.2,25137.4,24037,28218,22454.4,25973.2,22033.8,19896.8,24431.2,28974.6,22780.6,21072,22402,21767,24200,20357,22454,19061,18430,18661,20077,16916,18041,20165,23084,24551,20666,16861,19105,23777,18734,18870,21382,20399,21274,25517,25081,18197,25797,19011,19869,23360,19275,28161,29758,27538,26315,27407,29451,31030
258,Control,Rural - Standalone,11,52000,7,218924.4,613071,12445,14516,14075.2,16076.2,15955,17800.6,17339.6,12651,13589.4,18244.6,13976.6,18282.2,17732,16241,11891,14810,12093,14169,15052,14372,16204,13397,12655,14565,12144,15495,13570,15103,14893,12261,17639,16055,14886,16186,13485,12189,14046,13376,18641,17522,18188,14919,13908,18860,16986,19039,18413,16192,16556,18437,27027,21606
259,Control,Suburban - Standalone,1,131000,60,268802.6,818915,20763.8,17997.4,16334,22591.4,16922.4,23365.4,20021.2,17216,19299.8,16263.2,19929,18759.6,17250.4,22089,16004,15991,21448,22592,16566,15773,14843,18621,20897,21217,17357,21405,22145,21020,15469,21246,18186,20930,19804,21654,22449,23234,18489,18859,17017,23834,19266,19260,19974,21988,24621,19580,24766,17863,25523,30908,35943,30084
260,Control,Urban - Standalone,7,481000,30,238530.6,672734,17206.2,16771.2,15248.4,18953,14701.8,20079.2,17112,14900,15370.4,19645.4,17729.2,17735.6,17132.2,15946,15099,16568,14861,19966,13005,18665,13188,17040,19179,14061,17901,16983,14385,14729,17554,16492,14493,15690,13251,19094,18979,17851,14629,14414,20275,19525,18612,17593,18614,15697,17328,15714,18539,15553,20278,26856,25212,18915
261,Control,Rural - Strip Mall,26,80000,13,224989.4,657212,15719.6,16264.6,15920.2,14084.4,13064.8,17810.8,15570.4,15311.8,18673.6,16097.2,20333.6,14894.4,13947,17297,16997,16918,15966,19649,17533,14540,17440,15976,16347,12434,16282,16149,13504,12645,15086,14452,13662,13259,18455,19081,14718,14491,15917,14637,17759,17016,15531,18358,16312,18662,19322,18039,20045,18330,18487,20153,26504,19259
262,8B,Urban - Standalone,5,5000,16,115245.6,347726,7233.8,7714,7594,8254,7897.2,9396.2,7404.2,8136,7580.8,8607.4,7688.8,11056.6,8885.6,7797,9287,8464,7695,10148,9334,8112,8113,7366,9684,7858,7481,9804,6339,7153,8307,9143,8769,9835,7374,9546,7432,7570,7957,8170,9444,8231,9792,8208,7795,7560,9058,9307,11268,7157,11310,13691,14637,11530
263,Control,Suburban - Standalone,36,260000,8,269622.8,787411,14345,18358.8,16205.6,22327.2,17777.8,24650.8,19181.8,21272.8,20893.4,21022,18430.6,18530.2,16104.8,20522,16070,16815,16712,23274,20169,19797,14104,20516,21070,18939,15708,15735,20317,20229,17500,15883,18943,16708,15576,21511,19634,16268,19110,17987,21627,20233,21541,22799,19454,20480,18202,24978,28719,21830,19847,33090,29095,26419
264,Control,Suburban - Standalone,35,90000,28,241066.8,703323,16004,16178.8,13114.4,15901.2,15749,21537,18546.6,18315,14728.6,19334.4,14522.8,21846.8,18675.2,16613,17678,19379,16716,20534,17127,18623,18437,13326,17164,18325,12621,16480,19236,17286,16039,18874,15640,16928,15874,15081,16757,16679,14929,18434,18389,19047,18473,18482,16109,18751,19615,17810,19065,18505,19253,22441,29536,23067
265,Control,Suburban - Strip Mall,3,486000,71,333555.8,899470,20028,24763.8,18711.2,27146.6,24905.2,32131.8,25205.2,25221.2,24100.6,24002,20291.6,28538.4,18184.2,20326,21069,18285,23389,24138,16509,25177,16959,20703,18965,20362,23258,19735,20092,21130,17002,18080,23883,19260,23883,27127,18415,22559,20823,24849,22044,25992,25199,24991,20196,26803,19832,25101,34667,20957,27941,35545,34329,29895
266,Control,Rural - Standalone,12,398000,9,337177.8,927812,22535,20551.2,19412.6,26851.8,26105.2,24291.8,27749.4,24697.8,24946.2,20352,23784,24609.8,25213,26078,18777,18826,23798,21291,19653,23159,21763,19625,24709,20987,22012,20181,25341,24412,19071,21867,20865,19993,26559,19770,19456,20687,23719,22137,21443,26423,24903,26313,20764,22479,27297,29861,28134,26343,26654,34906,35690,31866
267,7A,Suburban - Strip Mall,28,94000,3,206417.4,608536,16369.2,12012,13448.4,14419.4,11939.6,17089.4,14492.8,15803.4,15987,14126.4,17046.2,14926,17297.6,11460,16781,13477,14611,18334,14774,12380,15691,13817,13590,12340,15450,15227,12117,13650,11854,13817,16283,16679,14587,15140,17938,14880,15191,13960,18099,15093,13566,14372,12942,16774,17267,18951,18742,12782,16283,23009,27394,19234
268,Control,Suburban - Standalone,27,49000,2,152065.2,459607,9480.8,11234.8,9956.6,11045.2,9400.4,14439.8,12840,10367,9706.8,9086.4,13137.8,10487,11472.6,9410,10654,8962,11745,12241,9766,12068,11367,9461,10818,8219,9910,13688,9901,11926,10209,11645,12907,10226,13003,13576,10835,9535,12119,11458,11861,13409,13015,13598,10379,10481,10284,13970,13226,12091,11333,17061,17229,16021
269,Control,Suburban - Strip Mall,23,172000,18,233119.2,662876,17453.4,16722.6,13501.2,16091.4,15847,16858.6,16236,18817.6,14709,18895.8,15234,18473.6,17433,16846,15237,13377,18441,19487,13481,17902,14297,17861,15861,15758,17414,19454,18201,13928,15969,16618,13384,17300,12973,19297,14364,13308,14049,15278,14403,18080,16089,15087,17737,16160,14700,21901,20265,17822,18854,22473,26297,22923
270,Control,Suburban - Standalone,29,9000,2,296013.6,858622,22160.6,19283,22345.2,19038.2,22479.2,21349,20167.4,20733,19425.8,23809,26970,19545.8,19508.4,19199,22402,21195,19181,18845,23699,16956,23313,17740,18584,15513,23055,20676,23742,21570,24088,20500,19815,20168,21613,22000,21844,19191,20210,22582,18517,23556,17870,21537,18117,24021,20748,27901,35031,24334,23245,31171,32313,22580
271,Control,Rural - Strip Mall,14,54000,6,145919,419355,9206.6,10121.4,10432.6,8984.4,9841.6,14570.8,8436.4,10480.8,10643.8,8711,10808,10478.6,11563,11640,10239,10051,11720,11195,11025,9855,11375,8249,11735,10131,8619,11614,8537,8780,10752,8594,10256,9982,12039,10970,8641,10380,8168,11095,10809,10018,11729,9656,11475,8927,9260,11226,14254,11369,12104,14239,16545,12102
272,Control,Suburban - Strip Mall,9,121000,61,123973.6,371862,7353.2,8009.4,9261.8,11072.8,8009.4,9801.2,8875.8,7632,11207,7645,8185.4,8411.6,9813,8696,9297,7391,8533,9365,8563,8139,9145,9909,10393,7636,6798,8099,9348,8584,9700,7627,9783,7858,7425,9438,9329,7361,10636,10813,10312,8165,11433,8555,10649,8986,11060,10105,13739,9922,9246,14447,14741,10636
273,Control,Suburban - Standalone,20,21000,12,355421.8,1028380,23676.8,25052,19545.2,28262,28549.2,30627.4,24836.6,20993.2,28077.6,25740,21978,31653.2,25613.6,20817,19787,23316,25871,30208,24912,21323,24297,24327,25980,18470,23428,24598,23490,24551,23100,20741,21944,25150,27722,27248,21152,29391,24050,25514,26508,28066,24494,30458,25277,29859,27991,33635,36183,23299,25801,41248,39433,34741
274,Control,Urban - Standalone,37,6000,2,455607.6,1261652,24190.6,34081.2,25528.2,35491.8,33778.8,41656,27767.8,28215,28757.8,34435.2,38942.4,38335.2,29404.6,35023,26424,34062,28137,39417,27696,31556,28286,33129,27250,28830,28724,34213,32005,24824,24447,31106,24797,33804,24811,26109,31373,34319,26166,30130,34574,38476,36346,28279,33925,27123,39850,34915,40385,34647,32683,54321,43165,36325
275,Control,Suburban - Standalone,3,401000,32,442660.6,1319945,25294.8,25264.8,27105.8,32028.4,31996.2,37094.6,33180,30177.8,32558.2,35774.8,36566,34193.2,31265,30161,28392,25047,28751,39040,28210,30451,35173,32467,33947,30973,30009,39777,30459,26535,28310,28977,28190,36463,30178,35312,28592,37740,36640,28706,33009,35663,27135,39991,39001,34528,41470,36381,44933,31196,34602,40354,47877,45305
276,Control,Urban - Standalone,13,406000,73,272717.2,785996,14918,18702.4,18912.8,16943.2,17818.6,27139.2,20167.8,21389.6,15602.4,20788.8,20127,17670.6,23250.8,19286,17077,16086,19848,21458,15886,19693,21013,17200,18418,13897,14588,22032,14941,15712,18754,21552,22114,19012,20570,21436,20112,22110,21693,20525,19360,22330,18932,19987,18150,18475,17816,24726,21794,21051,23061,24736,33106,27459
277,7B,Suburban - Strip Mall,39,37000,4,343797.6,929378,18859.2,21302.4,23321.8,27999.2,24068,26545.4,19081.4,26815,26797.4,27370.8,28839,30005.6,23742.4,19050,25535,25497,19942,21679,22006,18570,24602,20199,26604,21703,20312,24256,18496,24298,25270,21695,25216,21981,23047,24412,26571,25789,26017,25248,24927,19385,20783,21166,27863,27247,23423,28561,25415,24857,22318,29717,28757,26964
278,Control,Suburban - Standalone,3,22000,5,197178,574990,14372.8,12259.4,14962,13733.4,12111.4,14185.2,12083.6,15486.6,15447.8,12198.2,16789,13427.6,15244,14877,10774,15238,13207,15562,10901,12224,13723,11361,13095,13050,12389,15944,14888,13122,11594,15209,15021,15382,14393,14144,15234,14731,14384,12312,13735,14684,14349,15404,14822,13471,17401,14334,20418,15761,17459,23414,22107,14872
279,Control,Rural - Strip Mall,38,334000,65,311940.4,899738,20655.8,18588.2,22606.6,20935.6,23302.2,29195.2,19978.4,21654.8,20885.2,21667.6,22502.6,25546.6,22904.6,21517,21328,20960,21132,26980,18236,17855,17957,17392,22604,20932,18791,24941,17248,23708,24745,24391,21813,21151,22968,25202,21916,22051,23961,22439,22677,21369,19170,21764,26631,25163,20240,21061,34620,25808,23641,29007,34008,32361
280,Control,Suburban - Standalone,32,13000,1,435585,1215591,28950.4,33905.8,32355.8,29524,25668.4,44108,25647,26768.2,31956,31226,29695.6,35674.4,34273.4,25832,33225,24802,31689,28573,23703,27266,30027,26815,24367,25344,31653,25357,29183,33193,33898,24215,32609,30710,32356,27704,31302,25312,35209,25845,36259,36523,34642,32572,35389,27501,37516,31139,36518,26529,37555,43524,39776,39959
281,7A,Suburban - Strip Mall,15,17000,3,373557,1084039,27524.2,27555.4,21720.6,31339,21820.8,33258.6,23996.4,29645.4,26082,24722,23383.2,32252.6,25872.8,24384,28165,26216,27902,30283,27919,28157,21743,19616,25171,27913,27947,30045,27975,28780,24406,24416,20408,23478,25953,24686,30371,24137,30600,30954,26712,22043,26400,31098,30922,23533,29325,26541,36214,25241,25846,32547,46482,39510
282,Control,Suburban - Strip Mall,4,9000,17,105162.8,322320,5930.4,8080.6,6710,7556.2,7282.8,8244.8,7347,9435,6776.6,6938.4,7824.2,9141.2,7666.6,6229,6863,8806,8680,10069,6606,8201,6902,7365,7927,8129,8385,9998,7882,6321,7968,6332,7895,8295,8686,7185,6923,8710,6581,8361,8105,8089,8007,6895,8918,9356,8259,8954,10830,8110,9486,11173,10590,10249
283,Control,Rural - Standalone,15,5000,6,404125.4,1118970,23333.2,27670.8,28868.8,30771.2,28610.4,33803.8,23767.4,29265.6,31647.2,24759.4,34980.2,32025.8,33415.6,21206,24748,31081,23174,32898,28013,21395,24403,21212,24582,28434,22482,24345,29800,29624,28530,21249,26716,32700,29762,28563,26905,25749,32947,27284,27877,29660,23852,33885,30409,24627,29904,33948,40616,27705,29926,42382,45260,31117
284,Control,Urban - Standalone,41,64000,2,173811.2,496875,11093.4,13691.4,11222,11220,11741.8,12947.6,12101.8,12757.8,9893,14461.8,11362.4,14419,14826.2,12073,11436,13279,10445,11873,10022,10920,12463,11270,12551,9134,9146,14481,10383,11330,11969,11521,10413,10570,11811,13563,10409,13029,13597,14544,13635,14922,10364,12000,12644,12715,10986,15071,18177,14825,15761,18355,20264,14924
285,Control,Urban - Strip Mall,34,281000,13,499074.8,1362708,26008.8,31523,34160.4,37941.4,31725.6,43754.6,31293.6,40441.8,39399,35816.4,41923,39261.8,30918.4,34907,29261,37024,35081,39286,36329,32691,27797,35394,35180,29761,29373,30127,31176,36083,32548,29163,26530,38226,36193,27660,29057,29936,34952,33630,39180,37202,31636,28886,34167,29665,42629,35238,44768,33196,39038,58782,47654,43302
286,8B,Urban - Strip Mall,30,60000,2,432660.4,1218208,22829.4,29711.8,26070,28907.6,29353.2,33341.4,31855.2,34201.2,35698.4,36457.8,38657.8,27187,28019.6,30370,29973,23168,24081,38191,29346,29035,25370,31082,26544,30580,28425,34158,23977,24362,34182,27725,29045,29632,31658,25994,34776,35387,30221,29753,33885,33259,26152,34681,31757,26063,28748,31013,34587,33939,38695,40601,54996,32797
287,Control,Metropolitan - Standalone,23,12000,68,97877,267137,4967.4,5707.4,6578.4,8060.8,6880.8,6692,7628.6,7651,7474,5858.8,7716.6,7882.8,7435.4,7343,7065,6096,5664,6788,7271,7392,7223,5342,6746,5399,6109,6075,5053,6164,5949,6160,7091,6796,7137,7186,6554,5462,7732,6485,6881,5753,5914,6175,7609,6149,7636,8543,8787,6135,7545,8798,9767,9163
288,Control,Suburban - Strip Mall,31,49000,58,125632.4,366483,8325.2,10095.8,8161,9413.2,7663,10080.6,10529.4,7297.2,8126.6,8118,11180.6,11252.6,8502.2,6887,7215,9016,8576,8993,8706,8706,8127,7472,8276,7029,8956,10291,9400,8442,7887,8921,8852,10221,7119,9968,10285,10331,7809,9286,10322,10398,9593,8802,10554,10623,10150,11675,13973,8801,10615,10781,11823,11602
289,Control,Urban - Strip Mall,40,22000,35,223292.4,626497,15699,15819,15958.4,14274.6,15662.4,16271.8,13833.6,18252.8,16722.2,18641.2,17361.4,17398,14577,12821,12931,15745,14585,14534,16497,12369,16255,13684,15887,13316,14023,19129,12685,12057,15522,15549,13416,12636,14419,17467,13050,17029,13478,15952,16188,14699,18746,16184,14517,13255,18936,20658,23652,16712,19080,22868,23898,22068
290,Control,Suburban - Strip Mall,10,225000,21,259527.6,782159,19956.2,15532.6,16808,16626.8,14625.2,21250.8,16740.4,21338.8,20037.8,19121.6,15969.2,22371.8,18452.4,20696,19057,20296,17889,23467,16538,18603,20694,20566,18822,15376,17986,22399,15954,18406,20851,14831,19749,15127,18524,21247,16680,16058,19355,18224,21979,19351,16207,22799,16143,22121,21921,19464,28506,18054,22881,33300,29404,22634
291,Control,Suburban - Strip Mall,14,112000,21,244193.6,729168,19446.4,14412.4,19496.8,19822.8,14444.6,17245.8,16085.4,16238.8,18583.2,19844.2,20719.4,15774.4,18572.4,13507,13543,15889,20183,20427,14719,15297,15776,17228,15658,18810,18204,17002,13849,17991,14234,15824,15382,19139,19069,16520,21074,15671,19037,17422,14744,20400,19022,19737,19809,21956,18945,22471,28334,18922,18771,26657,30928,27017
292,Control,Suburban - Strip Mall,24,45000,5,302987.4,876294,19870.4,21739.4,19725.4,21572,21655.8,25647.2,22826.4,20842.4,22064.6,23677.2,22088.2,22235.2,18662.2,20381,23561,16799,18963,24851,20333,19536,16760,20867,22173,22194,16962,25936,18138,24222,22601,18433,22367,18456,23105,23988,25849,18762,24931,17473,21086,20457,25281,18152,18895,25731,22421,28025,26528,26402,22306,32619,35047,25703
293,Control,Suburban - Strip Mall,33,396000,12,370398.4,1037795,27902.4,23360.4,27080.6,28854.2,24334.6,36518.6,21379.8,24079.6,25490,31100.6,22902.6,29256.2,26591.8,21547,27458,27623,22007,24240,26683,21034,23985,28121,24235,23922,20030,25712,26618,28411,19948,23266,24982,28486,28059,21854,22764,27399,26296,25924,23302,23777,28600,24439,28437,21910,31625,26329,31318,29021,34195,35556,41585,37097
294,Control,Urban - Standalone,13,25000,1,312521,920040,17701.6,20032.6,18886.4,21108,18757.8,31884.4,25435.4,22440.8,25518.8,21150.8,26653.2,23520.4,18712.8,20718,20730,24617,22627,21407,21036,25579,24556,16860,25165,20165,23866,20706,23030,18012,20435,18287,23008,22258,25194,20802,26290,22049,23241,23438,25010,24402,23879,23452,22714,18705,26576,27202,36663,19757,21878,27139,36591,31996
295,Control,Rural - Strip Mall,21,2000,7,431444.8,1246611,27084.8,33547.8,23585.8,31626.6,28519,29805.4,28479.4,32736.2,28434.2,31761.8,29025,39504.6,33109.2,34225,33217,24900,25568,30762,33392,26595,26555,26484,32387,29894,29539,26910,28868,33142,23222,29062,32446,35689,35003,34048,34132,30735,25346,28658,30898,31725,27549,34483,29320,30414,30886,41124,38020,36465,36982,47466,44613,35887
296,Control,Suburban - Standalone,35,100000,33,156986.8,431456,11186.6,11580,11350.6,10431.8,12411,12600.8,11225.2,10251.6,12176.2,9007.8,10225.8,10871.2,11389.2,12279,10373,9045,8444,13443,9284,10524,10275,10192,10825,7840,10160,11241,8487,8213,9380,9597,12301,11542,12731,11885,9199,12005,12292,9431,8932,9535,11277,13347,13064,10520,9864,10651,15878,13523,14359,13631,14506,11381
297,Control,Suburban - Standalone,25,46000,3,360611,1057403,20516.8,27418.4,20716.4,28744.6,25303.6,27751,28398,23705.8,23705.8,29681.4,23647.8,32977.6,24056.8,23987,28236,25985,23055,28179,24306,27358,19296,28570,30411,19665,19216,29732,28464,21665,22589,29023,24395,25973,24028,23557,29925,25201,27860,26190,25060,31993,31913,25044,30206,29582,22580,27842,40861,23431,25367,37048,33609,36001
298,7A,Suburban - Standalone,26,217000,76,299328,810446,18243.8,18298.2,21353.4,25136.6,20586.2,26387,18537.6,20659.8,18633.6,21689.6,22691.6,23023.4,24101.2,19986,21156,16131,21864,21147,14742,22017,16543,19477,22166,21181,17194,19920,18247,16801,15403,18908,18326,22960,19192,24176,16329,18809,19920,21100,22062,22988,21875,18100,20436,18252,22104,27255,25136,18869,19303,29551,35456,25364
299,Control,Suburban - Strip Mall,40,90000,49,191636.8,548752,11480,15123.2,11922.8,11922.8,10705.2,17975.2,12410.4,13143.6,14180,11962.4,16027.8,15338.6,14952.8,14492,14161,10385,13132,13615,12583,11238,12581,14651,14339,10847,11700,15302,12805,11820,13334,13574,14327,11307,12330,14166,13372,11228,11948,11032,14861,14148,15210,11148,16422,13548,13475,15860,19026,14511,16986,21831,21910,19547
300,Control,Suburban - Standalone,9,12000,13,431019,1228761,26106.8,34217.4,29938.6,26258,34515.6,30723.6,30153,34230.4,36552.2,33021.8,33590.2,29731.6,27675.8,24304,23851,28832,24519,36301,33511,24974,30214,27732,25824,22841,23808,30472,28479,30788,28545,27047,32905,26135,29497,26037,24972,28617,34501,32964,33464,36994,36179,33106,30125,29657,38190,35716,45837,34151,38125,45912,48676,34959
301,Control,Suburban - Strip Mall,7,303000,8,231414.4,660098,13921.6,16168.2,14978.4,15947.4,16014.8,18668.8,14397.4,16367.6,18101.8,18324.8,19966.8,15800.6,18077.2,14679,14527,17040,12916,19513,17040,13856,16567,17591,19624,14577,13113,16648,12552,14169,13559,14900,13964,14357,18729,18556,14591,15283,17653,16554,17681,13891,19339,19673,17256,15939,20147,19502,18574,19219,15948,25720,25204,19447
302,7B,Urban - Strip Mall,22,270000,55,185890.4,513056,10189.2,14873.4,12520.8,15036.2,11293.2,16558.4,14085.8,11638.6,14245.4,13057.4,13676.6,13172,11767.4,13776,9977,11279,13934,12148,10706,13063,10556,13086,12347,11733,9709,13808,14060,11433,12075,14696,12603,14475,11990,11083,12739,10385,12237,12768,11382,13339,11440,15038,12127,13539,15320,15093,15912,11844,13855,19864,18490,19147
303,Control,Suburban - Standalone,8,5000,0,465642.4,1346848,34051.8,29492.2,32986.4,31125.8,35388.6,35870.8,29290.6,37096,30973.6,28865.2,39987.8,33030.4,33028.2,34455,29864,29480,33850,38921,26555,38559,25729,36419,27217,32215,27211,40523,26101,32830,28546,31900,29127,28038,34035,28668,37594,33127,35076,35483,30883,31713,30991,39784,39654,35127,38992,35194,52829,31852,42283,40176,49743,46104
304,Control,Suburban - Strip Mall,19,73000,40,295356.8,862213,16784.8,22898.2,17792.6,18766,17550,24098,20516.4,17280.6,24282.6,18682.2,23482,26668.4,23893,22662,22172,20357,22893,19521,18321,21412,17661,18062,17093,18350,21035,26483,23115,21291,21244,20929,22748,23123,22418,25667,25833,17963,25157,18811,17705,24770,21051,21543,22711,20538,18565,22297,25598,18470,20482,35017,31748,27397
305,Control,Suburban - Standalone,8,337000,8,249962.2,721350,14990.8,17799.2,15258.8,19354.6,20696.8,18208,18356,15281.4,15639.8,15975.6,20470.4,22142.8,16780,19008,16268,16103,15157,17784,19640,16986,13635,19010,16713,18425,15673,20166,18284,18362,19804,14108,15375,17111,16743,20237,19562,14270,18004,21111,15211,16273,18785,16821,17302,18081,22834,23689,27643,15182,17602,26688,23801,23899
306,Control,Urban - Standalone,31,216000,5,437791.6,1203043,30276.8,29498.4,23862.4,36935,28614.8,38113.4,32461.2,24621.6,35172,31816.8,35797.2,39051.8,28027.2,23543,24942,34158,33820,27983,27108,29580,32414,25019,28217,30424,28808,34450,25396,31618,30575,27517,33534,24350,27313,31965,28258,34894,31503,25959,25315,28023,30144,36795,28188,28039,35115,30409,38859,31248,40277,42367,38078,36838
307,Control,Urban - Strip Mall,16,139000,57,398665,1226437,22902,27148.6,26596.2,25500.4,27687.8,30505,33106.4,28155.4,29247,25948.6,24618.8,33008.8,34478,29762,23238,31544,26098,29294,31695,30602,24310,30894,32216,26723,31137,27699,31705,27344,30556,24600,30745,33833,27473,34366,27503,31809,26139,29089,31711,31056,28745,24091,34434,34869,36231,32757,45885,29162,36325,44829,50362,35606
308,8B,Urban - Standalone,32,32000,6,375534.2,1010289,28127,27995,19576,24489,21096.6,34704.6,23676.4,27960,30235.6,27607.8,22937.8,30317.4,29305,27506,23034,27290,20854,23427,23560,22044,21214,22911,21592,18729,24877,21631,20824,20389,26609,23339,24953,25352,24575,26373,25108,28986,24891,21300,24550,21936,24051,25986,27818,23613,31872,29986,29739,31569,28565,38317,45686,35233
309,Control,Suburban - Standalone,2,16000,13,169184.6,507063,11128.6,11766,12469.6,11592,14208.8,16034.8,10401.2,10520.4,11030,11467.6,11660.8,12814.2,13161.6,10929,11758,9788,11688,15586,9959,12452,11016,12452,12644,13386,9243,12350,9771,12946,9913,12650,11405,10986,14542,15115,13386,12572,14123,10597,15204,10342,14418,11164,10642,14170,15324,11973,20053,11705,11639,21259,20671,17242
310,Control,Suburban - Strip Mall,10,45000,40,287542,779359,20662.2,15886.8,21166.4,17903.4,16921,26221.8,21073.2,24051.8,18728.4,21348.8,20660,21117,22210.2,19591,19398,18332,19789,17423,19900,17597,17365,18680,17189,19538,17069,20917,16860,18326,20567,18058,16295,19644,19807,16553,21410,22608,20833,19286,19742,18423,16920,17996,18889,17134,20430,25919,29172,20837,25070,26144,26248,23400
311,Control,Suburban - Strip Mall,29,26000,10,179863.6,520026,12339.4,12767.6,13101.4,12996.2,14656.2,12914.6,10781.6,12205.4,11562.6,11315.8,12870.6,15435.2,14213,12704,14242,12155,11869,12883,12112,12200,9449,11103,13849,9630,10023,14487,12715,11748,13451,12996,11633,10477,10864,14543,13440,11054,14626,11050,15672,13761,13708,14592,12662,15157,12069,16980,19943,14124,13092,17950,18784,16229
